Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
0.0167667,0,0.75685,288,0.000126142,0,0,0,0,
0.0334,0,0,59,0.00137515,0,0,0,0,
0.0500333,0,8.316,135,0.00424235,0,0,0,0,
0.0667,0,17.514,115,0.00818799,77,0,0,0,
0.0833667,0,18.648,115,0.0126876,79,0,0,0,
0.100033,0,20.79,142,0.0179386,91,0,0,0,
0.116733,0,10.08,154,0.0230416,89,0,0,0,
0.133367,0,10.71,158,0.0280816,89,0,0,0,
0.15015,0,19.278,153,0.0332035,88,0,0,0,
0.166833,0,19.278,138,0.0381035,84,0,0,0,
0.18345,0,19.656,130,0.0435705,88,0,0,0,
0.200017,0,20.034,149,0.0490408,89,0,0,0,
0.2168,0,19.782,149,0.0545638,88,0,0,0,
0.233467,0,19.278,140,0.0595386,85,0,0,0,
0.250033,0,18.774,137,0.0643406,85,0,0,0,
0.2668,0,18.774,131,0.0695885,83,0,0,0,
0.283367,0,19.782,143,0.0744337,86,0,0,0,
0.300033,0,19.53,133,0.0798359,84,0,0,0,
0.316717,0,18.774,135,0.0846433,84,0,0,0,
0.333367,0,18.8586,120,0.0899003,87,0,0,0,
0.3501,0,20.034,144,0.0948012,89,0,0,0,
0.366783,0,19.782,144,0.0992812,87,0,0,0,
0.38345,0,20.16,143,0.104804,87,0,0,0,
0.4001,0,20.412,151,0.110433,91,0,0,0,
0.416767,0,20.5616,155,0.116078,87,0,0,0,
0.433383,0,19.656,141,0.121521,85,0,0,0,
0.450033,0,19.278,140,0.126981,86,0,0,0,
0.466717,0,19.026,151,0.131852,85,0,0,0,
0.483383,0,19.404,151,0.137179,86,0,0,0,
0.500083,0,15.498,141,0.14217,86,0,0,0,
0.516767,0,15.9617,4,0.146287,86,0,0,0,
0.53345,0,15.9617,1,0.150721,86,0,0,0,
0.550117,0,0,0,0.154268,86,0,0,0,
0.566717,0,0,0,0.155269,13,0,0,0,
0.583367,0,19.908,89,0.157582,87,0,0,0,
0.600033,0,19.278,89,0.161901,86,0,0,0,
0.6167,0,19.53,153,0.166723,85,0,0,0,
0.633367,0,19.53,144,0.170741,87,0,0,0,
0.650033,0,19.152,153,0.176147,86,0,0,0,
0.6667,0,19.782,163,0.180589,87,0,0,0,
0.683383,0,19.908,173,0.185584,87,0,0,0,
0.7001,0,18.9,164,0.190051,86,0,0,0,
0.716733,0,19.5738,165,0.195005,87,0,0,0,
0.733483,0,18.9,162,0.200381,83,0,0,0,
0.75015,0,18.774,161,0.205656,84,0,0,0,
0.7667,0,20.538,161,0.21055,89,0,0,0,
0.783367,0,20.412,161,0.215688,91,0,0,0,
0.80005,0,18.396,181,0.220581,85,0,0,0,
0.816817,0,19.152,174,0.225201,90,0,0,0,
